colour subNo block index seqDur seqDurTag nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI stdLowbound stdUpbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 IOI10 IOI11 IOI12 
masterclass 3.0000 4.0000 15.0000 11.0000 2.0000 11.0000 10.0000 2.0000 0.0910 0.2501 2.5010 0.0500 0.0900 m 0.1210 2.7510 1.5761 4.3268 0.2594 0.3750 0.1690 0.3361 0.3920 0.1629 0.2350 0.1543 0.2544 0.1629 0.0000 0.0000 
masterclass 3.0000 4.0000 17.0000 12.0000 2.0000 12.0000 11.0000 1.0000 0.0487 0.2498 2.7480 0.0500 0.0900 m 0.1390 2.9980 1.5364 4.5236 0.2878 0.2389 0.3419 0.2244 0.2910 0.2027 0.2603 0.2050 0.2370 0.1745 0.2846 0.0000 
masterclass 3.0000 4.0000 5.0000 5.0000 1.0000 5.0000 4.0000 1.0000 0.0399 0.2499 0.9997 0.0500 0.0900 m 0.1320 1.2497 1.5700 2.8087 0.2806 0.2468 0.1946 0.2776 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 4.0000 18.0000 12.0000 2.0000 12.0000 11.0000 2.0000 0.0928 0.2498 2.7481 0.0500 0.0900 m 0.1320 2.9981 1.7429 4.7405 0.1564 0.3216 0.2239 0.3261 0.3965 0.1653 0.2842 0.1602 0.3711 0.1918 0.1508 0.0000 
masterclass 3.0000 4.0000 12.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0954 0.2505 2.2546 0.0500 0.0900 m 0.1310 2.5046 1.6938 4.1971 0.1938 0.3859 0.2085 0.2785 0.1537 0.3469 0.1531 0.3673 0.1668 0.0000 0.0000 0.0000 
masterclass 3.0000 4.0000 7.0000 6.0000 1.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0500 0.0900 m 0.1160 1.5000 1.5029 2.9924 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 4.0000 13.0000 11.0000 2.0000 11.0000 10.0000 0.0000 0.0000 0.2500 2.5000 0.0500 0.0900 m 0.1090 2.7500 1.6569 4.3924 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
masterclass 3.0000 4.0000 16.0000 12.0000 2.0000 12.0000 11.0000 0.0000 0.0000 0.2500 2.7500 0.0500 0.0900 m 0.1280 3.0000 1.7406 4.7258 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
masterclass 3.0000 4.0000 4.0000 5.0000 1.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0500 0.0900 m 0.1400 1.2500 1.7367 2.9759 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 4.0000 6.0000 5.0000 1.0000 5.0000 4.0000 2.0000 0.1119 0.2503 1.0012 0.0500 0.0900 m 0.1180 1.2512 1.7028 2.9437 0.1550 0.2943 0.3884 0.1636 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 4.0000 3.0000 4.0000 1.0000 4.0000 3.0000 2.0000 0.0910 0.2495 0.7484 0.0500 0.0900 m 0.1070 0.9984 1.7104 2.7075 0.2357 0.1662 0.3465 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 4.0000 8.0000 6.0000 1.0000 6.0000 5.0000 1.0000 0.0315 0.2494 1.2472 0.0500 0.0900 m 0.1010 1.4972 1.5136 3.0063 0.2964 0.2538 0.2166 0.2559 0.2246 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 4.0000 10.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0500 0.0900 m 0.1250 2.5000 1.5006 3.9925 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
masterclass 3.0000 4.0000 1.0000 4.0000 1.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0500 0.0900 m 0.1230 1.0000 1.5171 2.5091 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 4.0000 11.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0457 0.2496 2.2463 0.0500 0.0900 m 0.1180 2.4963 1.6714 4.1553 0.2688 0.2039 0.2345 0.3099 0.1733 0.2946 0.2389 0.2939 0.2286 0.0000 0.0000 0.0000 
masterclass 3.0000 4.0000 9.0000 6.0000 1.0000 6.0000 5.0000 2.0000 0.1000 0.2493 1.2467 0.0500 0.0900 m 0.1250 1.4967 1.5869 3.0724 0.1514 0.3705 0.3263 0.1504 0.2481 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 4.0000 14.0000 11.0000 2.0000 11.0000 10.0000 1.0000 0.0447 0.2496 2.4965 0.0500 0.0900 m 0.1420 2.7465 1.5534 4.2888 0.1920 0.3225 0.2963 0.2495 0.2772 0.2345 0.2000 0.2454 0.1977 0.2815 0.0000 0.0000 
masterclass 3.0000 4.0000 2.0000 4.0000 1.0000 4.0000 3.0000 1.0000 0.0466 0.2499 0.7496 0.0500 0.0900 m 0.1310 0.9996 1.7145 2.7087 0.2043 0.2479 0.2974 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 5.0000 14.0000 11.0000 2.0000 11.0000 10.0000 1.0000 0.0472 0.2496 2.4965 0.0500 0.0900 m 0.1440 2.7465 1.5080 4.2389 0.2578 0.2206 0.2889 0.2501 0.3422 0.2612 0.2034 0.2732 0.2240 0.1750 0.0000 0.0000 
masterclass 3.0000 5.0000 10.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0500 0.0900 m 0.1340 2.5000 1.7114 4.2091 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
masterclass 3.0000 5.0000 3.0000 4.0000 1.0000 4.0000 3.0000 2.0000 0.1255 0.2497 0.7490 0.0500 0.0900 m 0.1470 0.9990 1.5114 2.5080 0.1981 0.3928 0.1581 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 5.0000 8.0000 6.0000 1.0000 6.0000 5.0000 1.0000 0.0487 0.2499 1.2496 0.0500 0.0900 m 0.1280 1.4996 1.6068 3.0921 0.2238 0.2510 0.1846 0.2803 0.3100 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 5.0000 7.0000 6.0000 1.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0500 0.0900 m 0.1170 1.5000 1.5761 3.0757 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
